02:00:30.80 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.06 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:01:15.07 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:01:15.07 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:01:47.44 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:01:47.45 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:02:03.78 | SUCCESS | utils.starter:stats:97 | Сохранена статистика в statistics/statistics_2024-09-12-02-02-03.csv
02:02:24.56 | INFO | utils.core.telegram:pars_sessions:56 | Searched sessions: 11.
02:02:24.56 | SUCCESS | utils.core.telegram:get_accounts:106 | Search available accounts: 11.
02:02:24.56 | INFO | utils.core.telegram:check_valid_accounts:85 | Checking accounts for valid...
02:02:56.93 | SUCCESS | utils.core.telegram:check_valid_accounts:95 | Valid accounts: 10; Invalid: 1
02:02:56.93 | INFO | utils.core.telegram:get_accounts:112 | Saved 1 invalid account(s) in sessions/invalid_accounts.txt
02:03:06.95 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Ежедневные награды» и получено 500 очков
02:03:30.97 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:31.63 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:32.23 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:32.34 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:32.41 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:32.44 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:32.59 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:32.63 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:33.21 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Создайте аккаунт в TON Society» и получено 1000 очков
02:03:33.35 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:33.81 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:34.61 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:34.87 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:35.15 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:35.19 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:35.22 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:35.26 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:35.60 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:36.15 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:36.50 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединяйтесь к CATS» и получено 1000 очков
02:03:36.86 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:37.12 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:37.66 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:37.69 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:37.71 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:37.83 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:38.25 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:38.76 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:38.91 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединяйтесь к сообществу CATS» и получено 1000 очков
02:03:38.98 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:39.86 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:39.91 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:40.17 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:40.19 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:40.63 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:40.76 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:41.27 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:41.37 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:42.13 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Эйрдроп $30 от OKX для пользователей CATS» и получено 1000 очков
02:03:42.24 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:42.60 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:42.81 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:42.81 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:43.28 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:43.51 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:43.53 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:43.96 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:44.29 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:44.62 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:44.80 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Играйте в MemeFi и получайте награды» и получено 1000 очков
02:03:45.53 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:45.82 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:45.92 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:45.99 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:46.02 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:46.26 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:46.99 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:47.00 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:47.06 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:47.79 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединиться к каналу MemeFi» и получено 1000 очков
02:03:48.15 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:48.56 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:48.57 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:48.74 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:48.92 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:49.32 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:49.50 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:49.50 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:50.05 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:50.90 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:50.99 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Join SEED channel:» и получено 1000 очков
02:03:51.47 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:51.53 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:51.67 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:51.86 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:52.01 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:52.02 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:52.38 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:52.55 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:53.52 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Join OKX Guild on SEED» и получено 1000 очков
02:03:53.72 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:53.98 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:54.28 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:54.30 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:54.39 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:54.47 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:54.48 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:54.83 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:55.20 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:56.28 | SUCCESS | utils.starter:start:29 | Thread 0 | 1.session | Завершена задача «Вступите в сообщество Time Farm в Telegram» и получено 1000 очков
02:03:56.62 | SUCCESS | utils.starter:start:29 | Thread 3 | 3.session | Завершена задача «Сыграйте в Time Farm» и получено 1000 очков
02:03:56.64 | SUCCESS | utils.starter:start:29 | Thread 6 | 7.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:56.83 | SUCCESS | utils.starter:start:29 | Thread 5 | 5.session | Завершена задача «Присоединяйтесь к игре CEX.IO Power Tap» и получено 1000 очков
02:03:56.84 | SUCCESS | utils.starter:start:29 | Thread 9 | main.session | Завершена задача «Вступите в сообщество Time Farm в Telegram» и получено 1000 очков
02:03:57.17 | SUCCESS | utils.starter:start:29 | Thread 8 | 9.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:57.50 | SUCCESS | utils.starter:start:29 | Thread 2 | 2.session | Завершена задача «Вступите в сообщество Time Farm в Telegram» и получено 1000 очков
02:03:57.93 | SUCCESS | utils.starter:start:29 | Thread 4 | 4.session | Завершена задача «Вступите в сообщество Time Farm в Telegram» и получено 1000 очков
02:03:58.10 | SUCCESS | utils.starter:start:29 | Thread 1 | 10.session | Завершена задача «Эйрдроп в 20 USDT от OKX и Time Farm» и получено 1000 очков
02:03:58.47 | SUCCESS | utils.starter:start:29 | Thread 7 | 8.session | Завершена задача «Вступите в сообщество Time Farm в Telegram» и получено 1000 очков
